pid,label,creator,publisher,_date,format,clio,collection,citation,description
s49,Columbia University’s Heights: An Ivory Tower and Its Communities ,Peter Marcuse and Cuz Potter,Lincoln Institute of Land Policy & M.E. Sharpe,2005,book chapter,https://clio.columbia.edu/catalog/5970242?counter=1,undesign,"Marcuse, Peter, and Cuz Potter. 2005. “Columbia University’s Heights : An Ivory Tower and Its Communities.” In The University as Urban Developer: Case Studies and Analysis, edited by David C. Perry, Wim Wiewel, and Lincoln Institute of Land Policy, 45–64. Cities and Contemporary Society. Cambridge, Mass. : Armonk, N.Y: Lincoln Institute of Land Policy ; M.E. Sharpe.",
s50,Community Futurisms: Time & Memory in North Philly 001 - Community Futures Lab,Black Quantum Futurism,Black Quantum Futurism,2020,website,,undesign,"“Community Futurisms: Time & Memory in North Philly 001 - Community Futures Lab.” 2020. Black Quantum Futurism. 2020. https://www.blackquantumfuturism.com/community-futurisms.
",
s51,"Conflict of Interests, Law Enforcement, and Social Change: A Case Study of Squatters on Morningside Heights. ",Mary Anne Brotherton,Fordham University,1974,manuscript,,undesign,"Brotherton, Mary Anne. 1974. “Conflict of Interests, Law Enforcement, and Social Change: A Case Study of Squatters on Morningside Heights.” PhD diss., Fordham University. ",
s52,Cooperative Home Care Associates,Cooperative Home Care Associates,Cooperative Home Care Associates,2021,website,,undesign,“Cooperative Home Care Associates.” 2021. http://www.chcany.org/.,
s53,Corporate Windfalls or Social Housing Conversions? The looming mortgage crisis and the choices facing New York,"Celeste Hornbach, Oksana Mironova, Samuel Stein, and Jacob Udell.",Community Service Society,2020,report,,undesign,"Hornbach, Celeste, Oksana Mironova, Samuel Stein, and Jacob Udell. 2020. “Corporate Windfalls or Social Housing Conversions? The Looming Mortgage Crisis and the Choices Facing New York.” New York: Community Service Society. https://www.cssny.org/publications/entry/corporate-windfalls-or-social-housing-conversions.",
s54,COVID-19 and Hospital Closures in NYC,ANHD,CARTO,2020,map,,land-use,"Association for Neighborhood and Housing Development. 2002. “COVID-19 and Hospital Closures in NYC.” April 9, 2002. https://anhdnyc.carto.com/builder/a7317489-9c2b-4e48-9f7e-e0cf8f30e415/embed.
",
s55,Covid-19 has exposed the consequences of decades of bad public housing policy,Gillet Gardner Rosenblith,Washington Post,2020,article,,land-use,"Rosenblith, Gillet Gardner. 2020. “Covid-19 Has Exposed the Consequences of Decades of Bad Public Housing Policy.” Washington Post, September 8, 2020. https://www.washingtonpost.com/outlook/2020/09/08/covid-19-has-exposed-consequences-decades-bad-public-housing-policy/.",
s56,Dawoud Bey: Seeing Deeply,Dawoud Bey,University of Texas Press,2018,book,https://clio.columbia.edu/catalog/13537327?counter=1,undesign,"Bey, Dawoud. 2018. Dawoud Bey: Seeing Deeply. Austin, TX: University of Texas Press.",
s57,The 1904 Blennerhasset Apartments - 507-511 West 111th Street,Tom Miller,Daytonian in Manhattan,2020,blog post,,undesign,"Miller, Tom. 2020. “The 1904 Blennerhasset Apartments - 507-511 West 111th Street.” Daytonian in Manhattan (blog). March 21, 2020. http://daytoninmanhattan.blogspot.com/2020/03/the-1904-blennerhasset-apartments-507.html.",
s58,De Fremery Park and Recreation Center West Oakland - FoundSF,Chance Grable,FoundSF,2015,article,,undesign,"Grable, Chance. 2015. “De Fremery Park and Recreation Center West Oakland.” FoundSF. 2015. https://www.foundsf.org/index.php?title=De_Fremery_Park_and_Recreation_Center_West_Oakland.",
s59,Decade of Fire,"Vivian Vázquez Irizarry, Gretchen Hildebran, Julia Steele Allen, Neyda Martinez, Edwin Martinez, Arturo Ortiz, Sonia González-Martínez, and Penelope Falk ",Red Nut Films,2019,video,https://clio.columbia.edu/catalog?f%5B-format%5D%5B%5D=FOIA+Document&f%5Bformat%5D%5B%5D=Video&q=%22decade+of+fire%22&search_field=all_fields,undesign,"Vázquez Irizarry, Vivian, Gretchen Hildebran, Julia Steele Allen, Neyda Martinez, Edwin Martinez, Arturo Ortiz, Sonia González-Martínez, and Penelope Falk. 2019. Decade of Fire. Brooklyn, New York: Red Nut Films.",
s60,Detroit 48202: Conversations along a Postal Route,Pam Sporn,Grito Productions,2018,video,https://clio.columbia.edu/catalog?q=%22Detroit+48202%22&f%5B-format%5D%5B%5D=FOIA+Document&f%5Bformat%5D%5B%5D=Video&search_field=all_fields&commit=Search,undesign,"Sporn, Pam, Kathryn Barnier, Jim MacDonald, Amilca Palmer, Tom Phillips, and Wendell Watkins. 2018. Detroit 48202: Conversations along a Postal Route. United States: Grito Productions.",
s61,"Discrimination, Documented",Urban Omnibus,Urban Omnibus,2017,article,,undesign,"Urban Omnibus. 2017. “Discrimination, Documented.” Urban Omnibus, March 22, 2017. https://urbanomnibus.net/2017/03/brass-tacks-discrimination-documented/.",
s62,"Documenting Crossroads: The Coronavirus in Poor, Minority Communities",Camilo José Vergara with Chrysanthe Broikos,National Building Museum,2020,blog post,,undesign,"Vergara, Camilo José, and Chrysanthe Broikos. 2020. “Documenting Crossroads: The Coronavirus in Poor, Minority Communities.” National Building Museum. 2020. https://www.nbm.org/exhibition/documenting-crossroads/.",
s63,Does My Neighborhood Determine My Future?,Vox,Vox,2021,video,,undesign,Vox. 2021. Does My Neighborhood Determine My Future? Glad You Asked. https://www.youtube.com/watch?v=pu2sKNJMH-k.,
s64,"East Hollywood Panel Series. Past: Redlining, Internment, and Resilience",East Hollywood Neighborhood Council,East Hollywood Neighborhood Council,2021,video,,undesign,"East Hollywood Neighborhood Council. 2021. East Hollywood Panel Series. Past: Redlining, Internment, and Resilience. https://www.youtube.com/watch?v=JNFUoDO943o.",
s65,East NY Oral History Project,Sarita Daftary-Steel,Sarita Daftary-Steel,n.d.,website,,undesign,"Daftary-Steel, Sarita. n.d. “East NY Oral History Project.” Accessed August 25, 2021. http://eastnewyorkoralhistory.org.",
s66,El Comité-MINP 50th Anniversary - Day of Commemoration and Dialogue,The People's Forum NYC,The People's Forum NYC,2020,video,,undesign,"The People’s Forum NYC. El Comité-MINP 50th Anniversary - Day of Commemoration and Dialogue, 2020. https://www.youtube.com/watch?v=rumdYR58C34.",
s67,"Eleven stories high: growing up in Stuyvesant Town, 1948-1968","Demas, Corinne",SUNY Press,2000,book,https://clio.columbia.edu/catalog/2630410,undesign,"Demas, Corinne. Eleven Stories High: Growing Up in Stuyvesant Town, 1948-1968. Albany, NY: SUNY Press, 2000.",
s68,"Esperanza Martell Discusses the 1970 Puerto Rican-Led UWS Anti-Displacement and Squatter Movement as seen in the Third World Newsreel film ""Break and Enter"" (Rompiendo Puertas)","Martell, Esperanza",Virtual Boricua,2016,video,,undesign,"Esperanza Martell Discusses the 1970 Puerto Rican-Led UWS Anti-Displacement and Squatter Movement as Seen in the Third World Newsreel Film “Break and Enter” (Rompiendo Puertas). Accessed February 26, 2021. https://www.facebook.com/watch/?v=1116286548410776.",
s69,"Eugenic Housing: Redlining, Reproductive Regulation, and Suburban Development in the United States","Lovett, Laura L.",WSQ: Women's Studies Quarterly,2020,article,,undesign,"Lovett, Laura L. 2020. ""Eugenic Housing: Redlining, Reproductive Regulation, and Suburban Development in the United States."" Women's Studies Quarterly 48 (1): 67-83",
s70,Eviction Lab Misses the Mark,Aiello et al.,Shelterforce,2018,blog post,,undesign,"Aiello et al. ""Eviction Lab Misses the Mark."" Shelterforce, August 22, 2018, https://shelterforce.org/2018/08/22/eviction-lab-misses-the-mark/",
s71,Eyeo 2019: RESIDUAL BLACK DATA - Ron Morrison,"Festival, Eyeo",Eyeo Festival,2019,video,,undesign,"Festival, Eyeo. Eyeo 2019: RESIDUAL BLACK DATA - Ron Morrison, 2019. https://vimeo.com/354276852.",
s72,Fighting the Megatowers: A Tale of Two Bridges ,Kranes et al.,Left Voice,2020,website,,undesign,"Kranes et al. ""Fighting the Megatowers: A Tale of Two Bridges."" Left Voice, October 23, 2020, https://www.leftvoice.org/fighting-the-megatowers-a-tale-of-two-bridges/ ",
s73,"Fox, Hetty","Bronx African American History Project, Fox, Hetty.",Oral Histories,2015,article,,undesign,"Bronx African American History Project, Fox, Hetty. “Fox, Hetty.” Oral Histories, October 1, 2015. https://research.library.fordham.edu/baahp_oralhist/102.",
s74,Frontline Communities Hit Hardest by COVID-19,"Afrida, Lena and Block, Luci",Association for Neighborhood and Housing Development,2020,blog post,,land-use,"Afrida, Lena and Block, Luci. ""Frontline Communities Hit Hardest by COVID-19."" Association for Neighborhood and Housing Development, April 2, 2020, https://anhd.org/blog/frontline-communities-hit-hardest-covid-19. ",
s75,Funambulist Magazine,The Funambulist,The Funambulist,2021,article,,undesign,"""Funambulist Magazine."" The Funambulist. https://thefunambulist.net/magazine",
s76,Gowntown: a 197-X plan for Upper Manhattan,Terreform,Terreform,2016,book,https://clio.columbia.edu/catalog/12299739,undesign,"Terreform. Gowntown: a 197-X plan for Upper Manhattan. New York: Terraform, 2016.",
s77,Harlem Mart 125: The American Dream Full Movie,Harlemn Mart 125,Harlemn Mart 125,2016,video,,undesign,"Harlem Mart 125: The American Dream Full Movie, 2016. https://www.youtube.com/watch?v=QTawVjvLjyk.",
s78,Harlem Solidarity and Defense (@harlemsolidaritydefense) ,Harlem Solidarity and Defense,Instagram,2019,website,,undesign,"“Harlem Solidarity And Defense (@harlemsolidaritydefense) • Instagram Photos and Videos.” Accessed August 12, 2020. https://www.instagram.com/harlemsolidaritydefense/.",
s79,Harlem vs. Columbia University: Black student power in the late 1960s,"Bradley, Stefan M.",University of Illinois Press,2009,book,https://clio.columbia.edu/catalog/9472310,undesign,"Bradley, Stefan M. Harlem vs. Columbia University: Black student power in the late 1960s. Urbana: University of Illinois Press, 2010.",
s80,Heat Wave: a Social Autopsy of Disaster in Chicago,"Klinenberg, Eric",University of Chicago Press,2003,book,https://clio.columbia.edu/catalog/5857953,undesign,"Klinenberg, Eric. Heat Wave: A Social Autopsy of Disaster in Chicago. Chicago: University of Chicago Press, 2015.",
s81,Housing Segregation and Redlining in America: A Short History,NPR Codeswitch,NPR,2018,video,,undesign,"Housing Segregation and Redlining in America: A Short History | Code Switch | NPR - YouTube. Accessed June 29, 2021. https://www.youtube.com/watch?v=O5FBJyqfoLM.",
s82,HousingHub: Partnering with BC Housing to Build Affordable Housing,BC Housing,BC Housing,2021,website,,undesign,"“HousingHub: Partnering with BC Housing to Build Affordable Housing.” Accessed June 29, 2021. https://www.bchousing.org/housinghub.",
s83,How America's Largest Worker Owned Co-Op Lifts People Out of Poverty,"Flanders, Laura",YES! Magazine,2014,blog post,,undesign,"Flanders, Laura. ""How America's Largest Worker Owned Co-Op Lifts People Out of Poverty."" YES! Magazine, August 15, 2014, https://www.yesmagazine.org/issue/poverty/2014/08/15/how-america-s-largest-worker-owned-co-op-lifts-people-out-of-poverty",
s84,How Branch Closures Impact Hard Hit Communities,"Weisberg, Jaime",Association for Neighborhood and Housing Development,2021,website,,undesign,"Weisberg, Jaime. ""How Branch Closures Impact Hard Hit Communities."" Association for Neighborhood and Housing Development, May 6, 2021, https://anhd.org/blog/how-branch-closures-impact-hard-hit-communities",
s85,How Decades of Racist Housing Policy Left Neighborhoods Sweltering,Plumer et al.,The New York Times,2020,article,,undesign,"Plumer et al. “How Decades of Racist Housing Policy Left Neighborhoods Sweltering - The New York Times.” Accessed August 16, 2021. https://www.nytimes.com/interactive/2020/08/24/climate/racism-redlining-cities-global-warming.html.",
s86,How Do We Design Free Spaces? ,"Hernandez, Arlette",The Museum of Modern Art,2021,article,,undesign,"Hernandez, Arlette. “How Do We Design Free Spaces?"" The Museum of Modern Art. Accessed June 24, 2021. https://www.moma.org/magazine/articles/539.",
s87,How Humanity Gave Itself an Extra Life,"Johnson, Steven",The New York Times,2021,article,,undesign,"Johnson, Steven. “How Humanity Gave Itself an Extra Life.” The New York Times, April 27, 2021, sec. Magazine. https://www.nytimes.com/2021/04/27/magazine/global-life-span.html.",
s88,How NYC Rezonings Spur ‘Racialized Displacement’ Throughout the City,Caroline Spivack,Curbed,12/09/2019,article,,undesign,"Spivack, Caroline. ""How NYC Rezonings Spur ‘Racialized Displacement’ Throughout the City."" Curbed, December 12, 2019,  https://ny.curbed.com/2019/12/5/20995175/nyc-rezonings-racial-displacement-jumaane-williams.",
s89,How We Live: A Journey Towards a Just Transition,Mark Decena,Kontent Films,2014,video,,undesign,"Decena, Mark, dir. ""How We Live: A Journey Towards a Just Transition."" Kontent Films. Video, https://vimeo.com/94603192. ",
s90,"If You Lived Here: The City in Art, Theory, and Social Activism",Martha Rosler and Brian Wallis,Bay Press,1991,book,https://clio.columbia.edu/catalog/10211077,undesign,"Rosler, Martha. If You Lived Here: The City in Art, Theory, and Social Activism. Edited by Brian Wallis. Seattle: Bay Press, 1991.",
s91,Imagine Going on Strike: Museum Workers and Historians,Ariella Aïsha Azoulay,e-flux,2019,article,,undesign,"Azoulay, Ariella Aïsha. ""Imagine Going on Strike: Museum Workers and Historians."" e-flux 104, (November 2019), https://www.e-flux.com/journal/104/299944/imagine-going-on-strike-museum-workers-and-historians/.",
s92,In the Mecca,Gwendolyn Brooks,Harper & Row,1968,book,https://clio.columbia.edu/catalog/790421,undesign,"Brooks, Gwendolyn. In the Mecca. New York: Harper & Row, 1968.",
s93,"In the Time of Trump: Housing, Whiteness, and Abolition",Manissa M. Maharawal and Erin McElroy,Abolition,"February 4, 2017",article,,undesign,"Maharawal, Manissa M., and Erin McElroy. ""In the Time of Trump: Housing, Whiteness, and Abolition."" Abolition, February 4, 2019, https://abolitionjournal.org/in-the-time-of-trump-housing-whiteness-and-abolition/.",
s94,Inequality by Design: How Redlining Continues to Shape our Economy,Amy Scott,Marketplace,"April 16, 2020",article,,undesign,"Scott, Amy. ""Inequality by Design: How Redlining Continues to Shape our Economy."" Marketplace, April 16, 2020, https://www.marketplace.org/2020/04/16/inequality-by-design-how-redlining-continues-to-shape-our-economy/. ",
s95,Interview with Esperanza Martell,Esperanza Martell,Centro: Center for Puerto Rican Studies at Hunter College,"May 23, 2018",audio,,undesign,"Martell, Esperanza. Oral history conducted by Andrew Viñales, Centro: Center for Puerto Rican Studies. Hunter College, New York, May 23, 2018. https://centroca.hunter.cuny.edu/Detail/objects/15636. ",
s96,Introduction to Public Housing,U.S. Library of Congress,Congressional Research Services,2014,report,,nycha-residents,"U.S. Library of Congress. Congressional Research Service. Introduction to Public Housing, R41654. 2014.",
